order,type,isMove,speed,genTime,sizeX,sizeY,sizeZ,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
0,1,1,30,1,40,6,3,30,8,0,0,-90,0
1,1,1,30,1,40,6,3,30,-2,0,0,-90,0
2,1,1,30,1,40,6,3,-30,8,0,0,90,0
3,1,1,30,1,40,6,3,-30,-2,0,0,90,0
4,1,1,30,2,40,6,3,30,9,0,0,-90,0
5,1,1,30,2,40,6,3,30,-1,0,0,-90,0
6,1,1,30,2,40,6,3,-30,9,0,0,90,0
7,1,1,30,2,40,6,3,-30,-1,0,0,90,0
0,1,1,30,4,40,6,3,30,11,0,0,-90,0
1,1,1,30,4,40,6,3,30,1,0,0,-90,0
2,1,1,30,4,40,6,3,-30,11,0,0,90,0
3,1,1,30,4,40,6,3,-30,1,0,0,90,0
4,1,1,30,5,40,6,3,30,9,0,0,-90,0
5,1,1,30,5,40,6,3,30,-1,0,0,-90,0
6,1,1,30,5,40,6,3,-30,9,0,0,90,0
7,1,1,30,5,40,6,3,-30,-1,0,0,90,0
4,1,1,30,5.8,40,6,3,30,8,0,0,-90,0
5,1,1,30,5.8,40,6,3,30,-2,0,0,-90,0
6,1,1,30,5.8,40,6,3,-30,8,0,0,90,0
7,1,1,30,5.8,40,6,3,-30,-2,0,0,90,0
4,1,1,30,6.6,40,6,3,30,9,0,0,-90,0
5,1,1,30,6.6,40,6,3,30,-1,0,0,-90,0
6,1,1,30,6.6,40,6,3,-30,9,0,0,90,0
7,1,1,30,6.6,40,6,3,-30,-1,0,0,90,0
